lap,pos,driver,time
34,5,ricciardo,140911
34,6,piastri,141809
34,7,russell,145843
34,8,tsunoda,137507
34,9,hulkenberg,132751
34,10,norris,149036
34,11,gasly,135793
34,12,albon,151150
34,13,zhou,137543
34,14,ocon,136517
34,15,sargeant,134182
34,16,bottas,132556
34,17,stroll,133808
34,18,alonso,132573
35,1,max_verstappen,1329714
35,2,leclerc,1332232
35,3,hamilton,1335599
35,4,sainz,1336236
35,5,ricciardo,1335968
35,6,piastri,1337832
35,7,russell,1337578
35,8,tsunoda,1335805
35,9,hulkenberg,1337910
35,10,norris,1339753
35,11,gasly,1339691
35,12,albon,1339024
35,13,zhou,1338089
35,14,ocon,1340297
35,15,sargeant,1339160
35,16,bottas,1339440
35,17,stroll,1339749
35,18,alonso,1339540
36,1,max_verstappen,161085
36,2,leclerc,158356
36,3,hamilton,153093
36,4,sainz,152114
36,5,russell,141168
36,6,ricciardo,152259
36,7,piastri,148490
36,8,tsunoda,141611
36,9,albon,129393
36,10,hulkenberg,138655
36,11,ocon,121608
36,12,gasly,133022
36,13,bottas,118173
36,14,norris,137757
36,15,zhou,129188
36,16,stroll,115557
36,17,alonso,113229
36,18,sargeant,123868
37,1,max_verstappen,82471
37,2,leclerc,83118
37,3,hamilton,83152
37,4,sainz,83566
37,5,russell,83464
37,6,ricciardo,83489
37,7,piastri,83800
37,8,tsunoda,84175
37,9,albon,84067
37,10,hulkenberg,84022
37,11,ocon,84421
37,12,gasly,84247
37,13,bottas,84136
37,14,norris,84243
37,15,stroll,84657
37,16,zhou,86210
37,17,alonso,85575
37,18,sargeant,85762
38,1,max_verstappen,82185
38,2,leclerc,82332
38,3,hamilton,82432
38,4,sainz,82729
38,5,russell,82780
38,6,ricciardo,82952
38,7,piastri,83151
38,8,tsunoda,82863
38,9,albon,82998
38,10,hulkenberg,83300
38,11,ocon,83380
38,12,gasly,83586
38,13,bottas,83675
38,14,norris,83841
38,15,stroll,83726
38,16,zhou,84081
38,17,alonso,84272
38,18,sargeant,84235
39,1,max_verstappen,82059
39,2,leclerc,82559
39,3,hamilton,82394
39,4,sainz,82938
39,5,russell,83137
39,6,ricciardo,82933
39,7,piastri,83653
39,8,tsunoda,83911
39,9,albon,84014
39,10,hulkenberg,83830
39,11,ocon,83538
39,12,gasly,83307
39,13,bottas,83322
39,14,norris,83521
39,15,stroll,83270
39,16,zhou,83567
39,17,alonso,83846
39,18,sargeant,84108
40,1,max_verstappen,81644
40,2,hamilton,81852
40,3,leclerc,83501
40,4,sainz,82987
40,5,russell,82802
40,6,ricciardo,82877
40,7,piastri,82924
40,8,tsunoda,82828
40,9,albon,83008
40,10,hulkenberg,83307
40,11,ocon,83571
40,12,gasly,83524
40,13,bottas,83788
40,14,norris,83409
40,15,stroll,83559
40,16,zhou,83672
40,17,alonso,83531
40,18,sargeant,83216
41,1,max_verstappen,81787
41,2,hamilton,82231
41,3,leclerc,82865
41,4,sainz,82952
41,5,russell,83006
41,6,ricciardo,82945
41,7,piastri,82947
41,8,tsunoda,83131
41,9,albon,83323
41,10,hulkenberg,83263
41,11,ocon,83297
41,12,gasly,83407
41,13,norris,83043
41,14,bottas,84367
41,15,stroll,83516
41,16,zhou,83859
41,17,sargeant,83485
41,18,alonso,85289
42,1,max_verstappen,81986
42,2,hamilton,82467
42,3,leclerc,82844
42,4,sainz,83007
42,5,russell,83210
42,6,ricciardo,83174
42,7,piastri,83259
42,8,tsunoda,83070
42,9,albon,83347
42,10,hulkenberg,83316
42,11,ocon,83334
42,12,gasly,83426
42,13,norris,83328
42,14,bottas,83203
42,15,stroll,83688
42,16,zhou,83988
42,17,sargeant,83673
42,18,alonso,84070
43,1,max_verstappen,82041
43,2,hamilton,82354
43,3,leclerc,82888
43,4,sainz,82829
43,5,russell,82854
43,6,ricciardo,82903
43,7,piastri,82880
43,8,tsunoda,82864
43,9,albon,83317
43,10,hulkenberg,83222
43,11,ocon,83084
43,12,gasly,83230
43,13,norris,82974
43,14,bottas,83166
43,15,stroll,83257
43,16,sargeant,83871
43,17,zhou,85204
43,18,alonso,83913
44,1,max_verstappen,82068
44,2,hamilton,82414
44,3,leclerc,83163
44,4,sainz,83024
44,5,russell,82908
