Round,Pos,Num,driverId,Name,Q1,Q2,Q3
14,7,81,piastri,Oscar Piastri,82106,81527,80785
14,8,44,hamilton,Lewis Hamilton,81977,81369,80820
14,9,4,norris,Lando Norris,81995,81581,80979
14,10,14,alonso,Fernando Alonso,82043,81543,81417
14,11,22,tsunoda,Yuki Tsunoda,81852,81594,
14,12,40,lawson,Liam Lawson,82112,81758,
14,13,27,hulkenberg,Nico Hulkenberg,82343,81776,
14,14,77,bottas,Valtteri Bottas,82249,81940,
14,15,2,sargeant,Logan Sargeant,81930,81944,
14,16,24,zhou,Guanyu Zhou,82390,,
14,17,10,gasly,Pierre Gasly,82545,,
14,18,31,ocon,Esteban Ocon,82548,,
14,19,20,kevin_magnussen,Kevin Magnussen,82592,,
14,20,18,stroll,Lance Stroll,82860,,
15,1,55,sainz,Carlos Sainz,92339,91439,90984
15,2,63,russell,George Russell,92331,91743,91056
15,3,16,leclerc,Charles Leclerc,92406,92012,91063
15,4,4,norris,Lando Norris,92483,91951,91270
15,5,44,hamilton,Lewis Hamilton,92651,92019,91485
15,6,20,kevin_magnussen,Kevin Magnussen,92242,91892,91575
15,7,14,alonso,Fernando Alonso,92584,91835,91615
15,8,31,ocon,Esteban Ocon,92369,92089,91673
15,9,27,hulkenberg,Nico Hulkenberg,92100,91994,91808
15,10,40,lawson,Liam Lawson,92215,92166,92268
15,11,1,max_verstappen,Max Verstappen,92398,92173,
15,12,10,gasly,Pierre Gasly,92452,92274,
15,13,11,perez,Sergio Perez,92099,92310,
15,14,23,albon,Alexander Albon,92668,93719,
15,15,22,tsunoda,Yuki Tsunoda,91991,,
15,16,77,bottas,Valtteri Bottas,92809,,
15,17,81,piastri,Oscar Piastri,92902,,
15,18,2,sargeant,Logan Sargeant,93252,,
15,19,24,zhou,Guanyu Zhou,93258,,
15,20,18,stroll,Lance Stroll,93397,,
16,1,1,max_verstappen,Max Verstappen,89878,89964,88877
16,2,81,piastri,Oscar Piastri,90439,90122,89458
16,3,4,norris,Lando Norris,90063,90296,89493
16,4,16,leclerc,Charles Leclerc,90393,89940,89542
16,5,11,perez,Sergio Perez,90652,89965,89650
16,6,55,sainz,Carlos Sainz,90651,90067,89850
16,7,44,hamilton,Lewis Hamilton,90811,90040,89908
16,8,63,russell,George Russell,90811,90268,90219
16,9,22,tsunoda,Yuki Tsunoda,90733,90204,90303
16,10,14,alonso,Fernando Alonso,90971,90465,90560
16,11,40,lawson,Liam Lawson,90425,90508,
16,12,10,gasly,Pierre Gasly,90843,90509,
16,13,23,albon,Alexander Albon,90941,90537,
16,14,31,ocon,Esteban Ocon,90960,90586,
16,15,20,kevin_magnussen,Kevin Magnussen,90976,90665,
16,16,77,bottas,Valtteri Bottas,91049,,
16,17,18,stroll,Lance Stroll,91181,,
16,18,27,hulkenberg,Nico Hulkenberg,91299,,
16,19,24,zhou,Guanyu Zhou,91398,,
16,20,2,sargeant,Logan Sargeant,,,
17,1,1,max_verstappen,Max Verstappen,85007,84483,83778
17,2,63,russell,George Russell,85334,84827,84219
17,3,44,hamilton,Lewis Hamilton,86076,84381,84305
17,4,14,alonso,Fernando Alonso,85223,85241,84369
17,5,16,leclerc,Charles Leclerc,85452,85079,84424
17,6,81,piastri,Oscar Piastri,85266,84724,84540
17,7,10,gasly,Pierre Gasly,85566,84918,84553
17,8,31,ocon,Esteban Ocon,85711,84928,84763
17,9,77,bottas,Valtteri Bottas,86038,85297,85058
17,10,4,norris,Lando Norris,85131,84685,
17,11,22,tsunoda,Yuki Tsunoda,86058,85301,
17,12,55,sainz,Carlos Sainz,85808,85328,
17,13,11,perez,Sergio Perez,85991,85462,
17,14,23,albon,Alexander Albon,86118,85707,
17,15,27,hulkenberg,Nico Hulkenberg,85904,85783,
17,16,2,sargeant,Logan Sargeant,86210,,
17,17,18,stroll,Lance Stroll,86345,,
17,18,40,lawson,Liam Lawson,86635,,
17,19,20,kevin_magnussen,Kevin Magnussen,87046,,
17,20,24,zhou,Guanyu Zhou,87432,,
18,1,16,leclerc,Charles Leclerc,96061,95004,94723
18,2,4,norris,Lando Norris,95110,95441,94853
18,3,44,hamilton,Lewis Hamilton,95091,95240,94862
18,4,55,sainz,Carlos Sainz,95824,95302,94945
18,5,63,russell,George Russell,96165,95606,95079
18,6,1,max_verstappen,Max Verstappen,95346,95008,95081
18,7,10,gasly,Pierre Gasly,96158,95496,95089
18,8,31,ocon,Esteban Ocon,96131,95413,95154
18,9,11,perez,Sergio Perez,95989,95679,95173
18,10,81,piastri,Oscar Piastri,96064,95576,95467
18,11,22,tsunoda,Yuki Tsunoda,95913,95697,
18,12,24,zhou,Guanyu Zhou,96052,95698,
18,13,77,bottas,Valtteri Bottas,96082,95858,
18,14,20,kevin_magnussen,Kevin Magnussen,96009,95880,
18,15,3,ricciardo,Daniel Ricciardo,96213,95974,
18,16,27,hulkenberg,Nico Hulkenberg,96235,,
18,17,14,alonso,Fernando Alonso,96268,,
18,18,23,albon,Alexander Albon,96315,,
18,19,18,stroll,Lance Stroll,96589,,
18,20,2,sargeant,Logan Sargeant,96827,,
19,1,16,leclerc,Charles Leclerc,78401,77901,77166
19,2,55,sainz,Carlos Sainz,78755,78382,77233
19,3,1,max_verstappen,Max Verstappen,78099,77625,77263
19,4,3,ricciardo,Daniel Ricciardo,78341,77706,77382
19,5,11,perez,Sergio Perez,78553,78124,77423
19,6,44,hamilton,Lewis Hamilton,78677,77571,77454
19,7,81,piastri,Oscar Piastri,78241,77874,77623
19,8,63,russell,George Russell,78893,77673,77674
19,9,77,bottas,Valtteri Bottas,78429,78016,78032
19,10,24,zhou,Guanyu Zhou,79016,78440,78050
19,11,10,gasly,Pierre Gasly,78945,78521,
19,12,27,hulkenberg,Nico Hulkenberg,78969,78524,
19,13,14,alonso,Fernando Alonso,78848,78738,
19,14,23,albon,Alexander Albon,78828,79147,
19,15,22,tsunoda,Yuki Tsunoda,78890,,
19,16,31,ocon,Esteban Ocon,79080,,
19,17,20,kevin_magnussen,Kevin Magnussen,79163,,
19,18,18,stroll,Lance Stroll,79227,,
19,19,4,norris,Lando Norris,81554,,
19,20,2,sargeant,Logan Sargeant,,,
